[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /healthz                  --> main.main.func1 (4 handlers)
[GIN-debug] POST   /api/auth/register        --> github.com/interview-assistant/backend/internal/user.(*Handler).Register-fm (4 handlers)
[GIN-debug] POST   /api/auth/login           --> github.com/interview-assistant/backend/internal/user.(*Handler).Login-fm (4 handlers)
[GIN-debug] POST   /api/interviews           --> github.com/interview-assistant/backend/internal/interview.(*Handler).Create-fm (5 handlers)
[GIN-debug] GET    /api/interviews           --> github.com/interview-assistant/backend/internal/interview.(*Handler).List-fm (5 handlers)
[GIN-debug] POST   /api/interviews/from-bank --> github.com/interview-assistant/backend/internal/interview.(*Handler).CreateFromBank-fm (5 handlers)
[GIN-debug] GET    /api/interviews/:id       --> github.com/interview-assistant/backend/internal/interview.(*Handler).Get-fm (5 handlers)
[GIN-debug] POST   /api/interviews/:id/start --> github.com/interview-assistant/backend/internal/interview.(*Handler).Start-fm (5 handlers)
[GIN-debug] POST   /api/interviews/:id/end   --> github.com/interview-assistant/backend/internal/interview.(*Handler).End-fm (5 handlers)
[GIN-debug] GET    /api/questions            --> github.com/interview-assistant/backend/internal/question.(*Handler).List-fm (5 handlers)
[GIN-debug] POST   /api/questions/from-session/:sessionId --> github.com/interview-assistant/backend/internal/question.(*Handler).ImportFromSession-fm (5 handlers)
[GIN-debug] POST   /api/questions/question-bank/focused --> github.com/interview-assistant/backend/internal/question.(*Handler).Focused-fm (5 handlers)
[GIN-debug] PATCH  /api/questions/:id        --> github.com/interview-assistant/backend/internal/question.(*Handler).Patch-fm (5 handlers)
[GIN-debug] DELETE /api/questions/:id        --> github.com/interview-assistant/backend/internal/question.(*Handler).Delete-fm (5 handlers)
[GIN-debug] GET    /api/analytics/trends     --> github.com/interview-assistant/backend/internal/analytics.(*Handler).Trends-fm (5 handlers)
[GIN-debug] GET    /api/profile              --> github.com/interview-assistant/backend/internal/profile.(*Handler).Get-fm (5 handlers)
[GIN-debug] POST   /api/precheck             --> github.com/interview-assistant/backend/internal/precheck.(*Handler).Check-fm (5 handlers)
[GIN-debug] POST   /api/speech/asr           --> github.com/interview-assistant/backend/internal/speech.(*handler).ASR-fm (5 handlers)
[GIN-debug] POST   /api/speech/tts           --> github.com/interview-assistant/backend/internal/speech.(*handler).TTS-fm (5 handlers)
[GIN-debug] GET    /api/interviews/:id/report --> github.com/interview-assistant/backend/internal/analysis.(*Handler).GetReport-fm (5 handlers)
[GIN-debug] POST   /api/interviews/:id/report/retry --> github.com/interview-assistant/backend/internal/analysis.(*Handler).RetryReport-fm (5 handlers)
[GIN-debug] GET    /api/interviews/:id/expression --> github.com/interview-assistant/backend/internal/expression.(*Handler).Get-fm (5 handlers)
[GIN-debug] POST   /api/digital-human/videos --> github.com/interview-assistant/backend/internal/digitalhuman.(*handler).Submit-fm (5 handlers)
[GIN-debug] GET    /api/digital-human/videos/:taskId --> github.com/interview-assistant/backend/internal/digitalhuman.(*handler).Result-fm (5 handlers)
[GIN-debug] POST   /api/livestream/sessions  --> github.com/interview-assistant/backend/internal/livestream.(*handler).Create-fm (5 handlers)
[GIN-debug] POST   /api/livestream/sessions/:id/speak --> github.com/interview-assistant/backend/internal/livestream.(*handler).Speak-fm (5 handlers)
[GIN-debug] POST   /api/livestream/sessions/:id/close --> github.com/interview-assistant/backend/internal/livestream.(*handler).Close-fm (5 handlers)
[GIN-debug] GET    /api/livestream/sign      --> github.com/interview-assistant/backend/internal/livestream.(*handler).Sign-fm (5 handlers)
[GIN-debug] GET    /ws/interviews/:id        --> github.com/interview-assistant/backend/internal/ws.(*Handler).Serve-fm (4 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :9090
[GIN] 2026/08/20 - 09:29:38 | 200 |       208.3µs |       127.0.0.1 | GET      "/healthz"
[GIN] 2026/08/20 - 09:30:06 | 200 |   20.4569385s |       127.0.0.1 | POST     "/api/livestream/sessions"
[GIN] 2026/08/20 - 09:30:17 | 200 |    307.2116ms |       127.0.0.1 | POST     "/api/livestream/sessions/a9e22cd879f677d6/speak"
[GIN] 2026/08/20 - 09:30:18 | 200 |     67.1367ms |       127.0.0.1 | POST     "/api/livestream/sessions/a9e22cd879f677d6/close"
[GIN] 2026/08/20 - 09:30:18 | 404 |            0s |       127.0.0.1 | POST     "/api/livestream/sessions/a9e22cd879f677d6/speak"
[GIN] 2026/08/20 - 09:34:39 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/register"
[GIN] 2026/08/20 - 09:34:39 | 200 |      92.796ms |             ::1 | POST     "/api/auth/register"
[GIN] 2026/08/20 - 09:34:39 | 204 |            0s |             ::1 | OPTIONS  "/api/interviews"
[GIN] 2026/08/20 - 09:34:39 | 200 |     15.8756ms |             ::1 | GET      "/api/interviews"
[GIN] 2026/08/20 - 09:35:27 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/login"
[GIN] 2026/08/20 - 09:35:27 | 200 |     75.0488ms |             ::1 | POST     "/api/auth/login"
[GIN] 2026/08/20 - 09:35:27 | 204 |            0s |             ::1 | OPTIONS  "/api/interviews"
[GIN] 2026/08/20 - 09:35:27 | 200 |      7.9145ms |             ::1 | GET      "/api/interviews"
[GIN] 2026/08/20 - 09:35:47 | 204 |            0s |             ::1 | OPTIONS  "/api/profile"
[GIN] 2026/08/20 - 09:35:47 | 200 |      9.5609ms |             ::1 | GET      "/api/profile"
[GIN] 2026/08/20 - 09:36:22 | 204 |            0s |             ::1 | OPTIONS  "/api/interviews"
[GIN] 2026/08/20 - 09:36:22 | 201 |     15.5711ms |             ::1 | POST     "/api/interviews"
[GIN] 2026/08/20 - 09:36:22 | 204 |            0s |             ::1 | OPTIONS  "/api/interviews/5127/start"
[GIN] 2026/08/20 - 09:36:27 | 200 |    4.6866856s |             ::1 | POST     "/api/interviews/5127/start"
[GIN] 2026/08/20 - 09:36:27 | 204 |            0s |             ::1 | OPTIONS  "/api/interviews/5127"
[GIN] 2026/08/20 - 09:36:27 | 200 |      5.6413ms |             ::1 | GET      "/api/interviews/5127"
[GIN] 2026/08/20 - 09:36:27 | 204 |            0s |             ::1 | OPTIONS  "/api/livestream/sign"
[GIN] 2026/08/20 - 09:36:27 | 200 |       526.3µs |             ::1 | GET      "/api/livestream/sign"
[GIN] 2026/08/20 - 09:36:27 | 204 |            0s |             ::1 | OPTIONS  "/api/livestream/sessions"
[GIN] 2026/08/20 - 09:36:45 | 200 |   18.3912252s |             ::1 | POST     "/api/livestream/sessions"
[GIN] 2026/08/20 - 09:36:45 | 204 |            0s |             ::1 | OPTIONS  "/api/livestream/sessions/72f3c43c01ea17fe/speak"
[GIN] 2026/08/20 - 09:36:46 | 200 |    299.3499ms |             ::1 | POST     "/api/livestream/sessions/72f3c43c01ea17fe/speak"
[GIN] 2026/08/20 - 09:41:55 | 204 |            0s |             ::1 | OPTIONS  "/api/livestream/sessions/72f3c43c01ea17fe/close"
[GIN] 2026/08/20 - 09:41:55 | 404 |            0s |             ::1 | POST     "/api/livestream/sessions/72f3c43c01ea17fe/close"
[GIN] 2026/08/20 - 09:41:55 | 200 |         5m10s |             ::1 | GET      "/ws/interviews/5127?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6InVpdGVzdF8xNzg3MTg5NjY2QGV4YW1wbGUuY29tIiwiZXhwIjoxNzg3Mjc2MTI3LCJzdWIiOiI1MzE3In0.KvbKJ-x6AU6ukCWcLMirolwwr-vuRHLq6GMM9pPeV60"
[GIN] 2026/08/20 - 09:41:55 | 404 |            0s |             ::1 | POST     "/api/livestream/sessions/72f3c43c01ea17fe/close"
[GIN] 2026/08/20 - 09:41:56 | 204 |            0s |             ::1 | OPTIONS  "/api/profile"
[GIN] 2026/08/20 - 09:41:56 | 200 |      6.3891ms |             ::1 | GET      "/api/profile"
